test_type,text_size,batch_size,threads,iterations,avg_latency,p95_latency,texts_per_sec,chars_per_sec,success_rate
serial,500,1,1,10,105.1,873,9.51,4757.37,100.00
serial,500,5,1,10,154.4,999,32.38,16191.71,100.00
serial,500,10,1,10,132.3,270,75.59,37792.89,100.00
serial,500,20,1,10,237,349,84.39,42194.09,100.00
serial,500,32,1,10,355.2,390,90.09,45045.05,100.00
serial,500,64,1,10,686.1,721,93.28,46640.43,100.00
serial,1000,1,1,10,29.2,39,34.25,34246.58,100.00
serial,1000,5,1,10,91.7,190,54.53,54525.63,100.00
serial,1000,10,1,10,167.9,182,59.56,59559.26,100.00
serial,1000,20,1,10,325.7,382,61.41,61406.20,100.00
serial,1000,32,1,10,507.7,521,63.03,63029.35,100.00
serial,1000,64,1,10,1006.5,1030,63.59,63586.69,100.00
serial,2000,1,1,10,22.3,24,44.84,89686.10,100.00
serial,2000,5,1,10,81.9,83,61.05,122100.12,100.00
serial,2000,10,1,10,171.2,175,58.41,116822.43,100.00
serial,2000,20,1,10,331.9,351,60.26,120518.23,100.00
serial,2000,32,1,10,517.4,531,61.85,123695.40,100.00
serial,2000,64,1,10,1047.1,1117,61.12,122242.38,100.00
serial,5000,1,1,10,25.1,27,39.84,199203.19,100.00
serial,5000,5,1,10,92.8,94,53.88,269396.55,100.00
serial,5000,10,1,10,183.3,201,54.56,272776.87,100.00
serial,5000,20,1,10,366.1,372,54.63,273149.41,100.00
serial,5000,32,1,10,579.4,586,55.23,276147.74,100.00
serial,5000,64,1,10,1146.4,1178,55.83,279134.68,100.00
serial,10000,1,1,10,28,37,35.71,357142.86,100.00
serial,10000,5,1,10,94.7,99,52.80,527983.10,100.00
serial,10000,10,1,10,184,200,54.35,543478.26,100.00
serial,10000,20,1,10,361.2,382,55.37,553709.86,100.00
serial,10000,32,1,10,560.2,569,57.12,571224.56,100.00
serial,10000,64,1,10,1145.9,1189,55.85,558512.96,100.00
serial,1000,32,1,10,552.8,N/A,57.89,57887.12,100.00
concurrent,1000,32,2,10,561.2,N/A,57.02,57020.67,100.00
concurrent,1000,32,3,10,582.6,N/A,54.93,54926.19,100.00
concurrent,1000,32,4,10,688.9,N/A,46.45,46450.86,100.00
concurrent,1000,32,5,10,600.24,N/A,53.31,53312.01,80.00
serial,2000,32,1,10,828.9,N/A,38.61,77210.76,100.00
concurrent,2000,32,2,10,588.05,N/A,54.42,108834.28,100.00
concurrent,2000,32,3,10,593.1333333333333,N/A,53.95,107901.54,100.00
concurrent,2000,32,4,10,604.95,N/A,52.90,105793.87,100.00
concurrent,2000,32,5,10,600.26,N/A,53.31,106620.46,82.00
serial,5000,16,1,10,586.6,N/A,27.28,136379.13,100.00
concurrent,5000,16,2,10,342.45,N/A,46.72,233610.75,100.00
concurrent,5000,16,3,10,339.76666666666665,N/A,47.09,235455.70,100.00
concurrent,5000,16,4,10,346.75,N/A,46.14,230713.77,100.00
concurrent,5000,16,5,10,321.3,N/A,49.80,248988.48,100.00